idx,x,y,z
0,0.30088982,-0.6414856,3.0145712
1,0.35022965,-0.66183364,3.0024385
2,0.14434008,-0.64990425,3.3858328
3,0.14364505,-0.65429294,3.3873777
4,0.14252476,-0.65732545,3.3883681
5,0.14252476,-0.65732545,3.3883681
6,0.14252476,-0.65732545,3.3883681
7,0.14252476,-0.65732545,3.3883681
8,-0.046733666,-0.6824399,3.4149525
9,0.14022268,-0.65761876,3.3890257
10,0.13930932,-0.6535805,3.388968
11,-0.04678786,-0.67388976,3.4199958
12,0.13946953,-0.65258133,3.3899055
13,-0.04747723,-0.66893804,3.4193342
14,0.14029941,-0.65124196,3.3895965
15,-0.04755117,-0.66355044,3.4172626
16,0.14132118,-0.6510651,3.3890252
17,-0.047471974,-0.66196746,3.4154668
18,0.14251292,-0.6511673,3.388153
19,-0.04685482,-0.66031724,3.4142256
20,0.14323576,-0.6533499,3.3876877
21,-0.045751996,-0.66313434,3.4151294
22,0.14366776,-0.65492487,3.3874154
23,0.14350992,-0.65618247,3.3876667
24,0.14272608,-0.6594571,3.3884969
25,0.14230683,-0.66012675,3.3867593
26,0.1440863,-0.6582003,3.3810925
27,0.14701867,-0.65618044,3.3732996
28,0.14795952,-0.65463096,3.3644443
29,0.14659366,-0.6577651,3.3572154
30,0.14337708,-0.6633191,3.3542671
31,-0.041110255,-0.6958425,1.7163308
32,-0.04092721,-0.69494927,1.7147458
33,-0.039360277,-0.69538456,1.7133495
34,-0.03727279,-0.6979473,1.7122232
35,-0.03501293,-0.69964796,1.712055
36,-0.03270106,-0.69629735,1.7141201
37,-0.031692408,-0.69807667,1.7123498
38,-0.03040013,-0.69571054,1.711549
39,-0.028998563,-0.6948788,1.7099392
40,-0.02815491,-0.6931014,1.7096636
41,-0.027800823,-0.6928581,1.7091978
42,-0.028125238,-0.69255424,1.7103766
43,-0.028698765,-0.6934608,1.7109778
44,-0.028556118,-0.6941155,1.7100908
45,-0.028175822,-0.6925383,1.710319
46,-0.02791659,-0.69457734,1.709614
47,-0.027834635,-0.6969117,1.7087898
48,-0.02782885,-0.6981713,1.708816
49,-0.027990095,-0.6980728,1.7096548
50,-0.028413393,-0.69856775,1.7095675
51,-0.02918499,-0.69944996,1.7085134
52,-0.030333288,-0.7007595,1.7064658
53,-0.031624902,-0.7024093,1.7036264
54,0.2583436,-0.5947087,1.470844
55,-0.07466975,-0.6733642,1.5311855
56,0.25598148,-0.6021143,1.468848
57,0.2559199,-0.60684246,1.4684402
58,0.2564049,-0.6106557,1.4685832
59,-0.07967162,-0.6882037,1.5489366
60,0.25749952,-0.61304146,1.4689288
61,0.25618407,-0.61456454,1.4685582
62,-0.08095118,-0.68887424,1.547728
63,0.25335684,-0.611409,1.4679992
64,-0.08088048,-0.68814,1.5476837
65,0.25228512,-0.6081163,1.4677244
66,-0.08103813,-0.6889001,1.5489115
67,0.2540354,-0.6068024,1.4683754
68,-0.080891795,-0.6892804,1.5490229
69,0.25626135,-0.6079062,1.4694564
70,-0.080245,-0.68853706,1.5471687
71,0.2575587,-0.61086166,1.4701356
72,-0.08103321,-0.6878414,1.5469954
73,0.2589576,-0.61097634,1.4708307
74,-0.081688315,-0.68547654,1.5445579
75,0.26002908,-0.6110388,1.4711227
76,-0.08370468,-0.68520075,1.5444736
77,0.26093265,-0.61072063,1.4709425
78,-0.08381755,-0.6822249,1.5416709
79,0.2615018,-0.61118346,1.4706967
80,0.26150948,-0.6126459,1.4705315
81,0.26091748,-0.61570853,1.4703631
82,0.258188,-0.61759233,1.4694524
83,0.27188754,-0.6495801,3.323479
84,0.27513775,-0.6467072,3.3289661
85,0.273001,-0.65067285,3.3411336
86,0.08256133,-0.6474663,3.4160852
87,0.27120978,-0.6518935,3.3474398
88,0.080592975,-0.64886135,3.4087176
89,0.26960513,-0.65131545,3.3502047
90,0.07877769,-0.65070534,3.4033768
91,0.07698702,-0.65108985,3.3996499
92,0.07363408,-0.65166265,3.3980865
93,0.26182634,-0.648632,3.3331182
94,0.06982746,-0.65333265,3.3984582
95,0.25772068,-0.6485859,3.328931
96,0.066293664,-0.65668476,3.4020295
97,0.25342587,-0.6480672,3.3268418
98,0.06161751,-0.6605999,3.4046533
99,0.24945514,-0.6481322,3.32602
100,0.057105366,-0.66469055,3.4072552
101,0.051445108,-0.66942334,3.4122217
102,-0.005628151,-0.6778775,4.3589478
103,0.21864155,-0.6646903,4.3078146
104,0.22618064,-0.658953,4.232341
105,0.22670081,-0.6585231,4.2352853
106,0.22690699,-0.6563409,4.2378273
107,0.22621177,-0.6559373,4.2401004
108,0.2257852,-0.6576268,4.2416234
109,0.2251246,-0.65803576,4.24314
110,0.22441915,-0.6543858,4.2455554
111,0.22505105,-0.64970756,4.2483044
112,0.22697043,-0.6467672,4.2517853
113,0.22963896,-0.6448893,4.255268
114,0.23095018,-0.64768755,4.2591047
115,0.23120105,-0.64946735,4.26103
116,0.23051718,-0.64939106,4.262212
117,0.2300422,-0.64697623,4.2621727
118,0.2296434,-0.6478303,4.2630157
119,0.23056263,-0.64627343,4.2653174
120,0.039828002,-0.64844286,3.6772537
121,0.244611,-0.6457525,3.2089605
122,0.008834656,-0.7034385,2.7756994
123,0.008445481,-0.7029007,2.77281
124,0.008751773,-0.7044492,2.7683985
125,0.01063814,-0.7083548,2.7642891
126,0.014304945,-0.7105496,2.7631006
127,0.01823219,-0.70935464,2.7642937
128,0.19647783,-0.6492292,2.6961408
129,0.020174505,-0.7082245,2.7648528
130,0.02113904,-0.7080969,2.7635527
131,0.021633111,-0.7067775,2.763679
132,0.020868894,-0.7040477,2.7656515
133,0.019466858,-0.70257264,2.766914
134,0.01832557,-0.7016355,2.7679372
135,0.017820016,-0.7019579,2.768461
136,0.018070295,-0.70220065,2.7690752
137,0.018730754,-0.7012965,2.7702546
138,0.01921593,-0.70079637,2.7707355
139,0.019497858,-0.70057625,2.7711332
140,0.017821517,-0.7007523,2.7712157
141,0.18354641,-0.64077294,2.7035434
142,0.18659687,-0.64212734,2.7024784
143,-0.29328287,-0.66571164,2.850083
144,-0.28765237,-0.66511023,2.8508022
145,-0.28689092,-0.66530466,2.8505924
146,-0.7507024,-0.7106112,2.9198334
147,-0.7459191,-0.7116848,2.9172342
148,-0.7407762,-0.7116414,2.9155803
149,-0.735751,-0.7112624,2.9147115
150,-0.7310956,-0.70971096,2.9157536
151,-0.7299949,-0.70365465,2.9247031
152,-0.7331007,-0.7026883,2.9268007
153,-0.64982337,-0.72722816,2.9487798
154,-0.6212307,-0.72209877,2.9484298
