idx,x,y,z
0,-0.21560022,-0.8874705,1.6996973
1,-0.21560022,-0.8874705,1.6996973
2,-0.21560022,-0.8874705,1.6996973
3,-0.21560022,-0.8874705,1.6996973
4,-0.21560022,-0.8874705,1.6996973
5,-0.21560022,-0.8874705,1.6996973
6,-0.21560022,-0.8874705,1.6996973
7,-0.21560022,-0.8874705,1.6996973
8,-0.21560022,-0.8874705,1.6996973
9,-0.21560022,-0.8874705,1.6996973
10,-0.21560022,-0.8874705,1.6996973
11,-0.09739212,-0.85699654,2.2560656
12,-0.09756557,-0.8587803,2.250593
13,-0.09874858,-0.85965985,2.2326186
14,-0.09829317,-0.85911644,2.2176754
15,-0.0985013,-0.8539589,2.2106757
16,0.2420709,-0.8238315,2.5161595
17,-0.0985013,-0.8539589,2.2106757
18,0.2420709,-0.8238315,2.5161595
19,-0.0985013,-0.8539589,2.2106757
20,0.2420709,-0.8238315,2.5161595
21,-0.0985013,-0.8539589,2.2106757
22,0.2420709,-0.8238315,2.5161595
23,-0.0985013,-0.8539589,2.2106757
24,0.2420709,-0.8238315,2.5161595
25,-0.0985013,-0.8539589,2.2106757
26,0.2420709,-0.8238315,2.5161595
27,-0.0985013,-0.8539589,2.2106757
28,0.2420709,-0.8238315,2.5161595
29,-0.0985013,-0.8539589,2.2106757
30,0.2420709,-0.8238315,2.5161595
31,-0.0985013,-0.8539589,2.2106757
32,0.2420709,-0.8238315,2.5161595
33,0.23069264,-0.82139325,2.5375152
34,0.21881516,-0.8221351,2.5407925
35,0.2113156,-0.8239834,2.5344734
36,-0.03712555,-0.8469716,2.5717998
37,0.20833254,-0.82494825,2.5246527
38,-0.038224034,-0.8470744,2.5696445
39,0.20849483,-0.825077,2.5171592
40,-0.040531978,-0.8482004,2.5643137
41,0.21031374,-0.82417905,2.5149934
42,-0.04305701,-0.8482623,2.5545783
43,0.21172562,-0.8228768,2.516765
44,-0.04414872,-0.8471023,2.5451376
45,0.21265054,-0.82214224,2.5187922
46,-0.043982707,-0.84625506,2.5402484
47,0.2138667,-0.817641,2.5170524
48,-0.042004365,-0.84570175,2.539484
49,0.2154179,-0.8179363,2.5165112
