idx,x,y,z
0,-0.8011904,-0.88688946,1.79369
1,-1.2302216,-0.79855037,1.796668
2,-0.8011904,-0.88688946,1.79369
3,-1.2302216,-0.79855037,1.796668
4,-0.80232,-0.9052691,1.7917165
5,-0.3875609,-0.8832499,1.9538635
6,0.034368727,-0.8820323,2.1520452
7,0.02912238,-0.87995833,2.1532965
8,0.028103951,-0.87665594,2.1536186
9,0.030102912,-0.8730767,2.1540463
10,0.03248284,-0.8710708,2.1555483
11,-0.18026322,-0.8827669,2.1625175
12,0.034762107,-0.8699341,2.1561768
13,-0.1840834,-0.8826125,2.1580076
14,0.0365269,-0.8678724,2.1557052
15,-0.18817139,-0.88195336,2.1548917
16,0.037268426,-0.86659604,2.1541238
17,-0.19083706,-0.88157475,2.1537848
18,0.037122987,-0.86468196,2.1521893
19,-0.1917792,-0.8816997,2.1542487
20,0.03640411,-0.86420035,2.1509187
21,-0.19133726,-0.881886,2.1554372
22,0.0349946,-0.865593,2.1522884
23,-0.19098881,-0.88301325,2.156949
24,0.033643153,-0.8681557,2.1548085
25,-0.1912699,-0.8840848,2.156759
26,0.033119578,-0.8705453,2.1549623
27,-0.19206713,-0.8847221,2.153317
28,0.033477094,-0.87519073,2.1532483
29,-0.19239391,-0.8858155,2.1516488
30,-0.1932953,-0.8874088,2.1498866
31,-0.1933878,-0.88900405,2.1487236
32,-0.19385068,-0.8910776,2.1469188
33,-0.1954098,-0.89337254,2.1469285
34,-0.19652964,-0.8950135,2.1449037
35,0.019920219,-0.87502104,1.7397434
36,0.02060461,-0.8755487,1.7368876
37,0.020329766,-0.87790424,1.7353868
38,0.019482477,-0.8804949,1.7357808
39,-0.19688281,-0.89585197,1.6660743
40,0.019253153,-0.8798451,1.735721
41,-0.19515067,-0.89709246,1.6739664
42,0.019809809,-0.8777504,1.7345647
43,-0.19435835,-0.89703643,1.6793604
44,0.020400485,-0.8764998,1.7335455
45,-0.19409618,-0.8962617,1.6816213
46,0.021336187,-0.87636995,1.7327294
47,-0.19348323,-0.89599353,1.6830285
48,0.021912288,-0.87671894,1.7332033
49,-0.19292793,-0.8966979,1.6832511
50,0.022114605,-0.8769613,1.7339352
51,-0.19232416,-0.89763314,1.6819332
52,0.022049902,-0.8765544,1.7340683
53,-0.19240074,-0.89793277,1.6800858
54,0.022414181,-0.87572753,1.7332301
