idx,x,y,z
0,-1.5457151,-0.06703772,3.133482
1,-1.1767578,-0.18798828,3.03125
2,-1.5457151,-0.06703772,3.133482
3,-1.1767578,-0.18798828,3.03125
4,-1.5457151,-0.06703772,3.133482
5,-1.1767578,-0.18798828,3.03125
6,-0.29840845,-0.07036416,3.3777847
7,-0.29670015,-0.07019679,3.3785365
8,-0.29573798,-0.071417704,3.3807042
9,-0.435452,-0.13816582,3.1959636
10,-0.2945093,-0.069736935,3.3813443
11,-0.437836,-0.13639446,3.1971676
12,-0.29312694,-0.06940556,3.382485
13,-0.43791837,-0.13504039,3.1970067
14,-0.29323012,-0.071907945,3.3846614
15,-0.4384765,-0.13630171,3.1970775
16,-0.29224312,-0.06997709,3.3835084
17,-0.43870738,-0.13547766,3.195301
18,-0.29182392,-0.067892365,3.3821945
19,-0.43911788,-0.13482548,3.1933737
20,-0.2920037,-0.06657637,3.3809147
21,-0.43946418,-0.134836,3.193199
22,-0.2921473,-0.06575062,3.3800354
23,-0.43949056,-0.13428243,3.193155
24,-0.29245383,-0.06676068,3.3808954
25,-0.43943176,-0.13465624,3.1947289
26,-0.29256535,-0.06836872,3.382215
27,-0.43815076,-0.133203,3.194606
28,-0.2928413,-0.07098777,3.3840284
29,-0.4382525,-0.13401586,3.1943443
30,-0.29184672,-0.0710884,3.383664
31,-0.43863428,-0.13586693,3.1961162
32,-0.29187438,-0.07143514,3.3822834
33,-0.43776578,-0.13401222,3.1971412
34,-0.29233003,-0.071270674,3.3803592
35,-0.43707216,-0.13484345,3.1983328
36,-0.29347673,-0.07208339,3.3789883
37,-0.43569657,-0.1356545,3.198857
38,-0.29400057,-0.07201149,3.3778052
39,-0.43528613,-0.13672128,3.1961386
40,-0.2935017,-0.07113357,3.3774593
41,-0.43587786,-0.13665484,3.1937745
42,-0.29270396,-0.0703726,3.3781676
43,-0.43617332,-0.13691619,3.1938052
44,-0.29152146,-0.06902625,3.3789194
45,-0.43620124,-0.13675731,3.1962461
46,-0.29081482,-0.068504065,3.379542
47,-0.43661505,-0.1365581,3.197404
48,-0.29072824,-0.06965938,3.3802652
49,-0.43638906,-0.13566239,3.1978161
50,-0.29037163,-0.069500685,3.3802853
51,-0.43588206,-0.13454634,3.1978378
52,-0.29004186,-0.06901122,3.3798442
53,-0.43459862,-0.13354176,3.1972935
54,-0.28930676,-0.06811475,3.3793359
55,-0.4341046,-0.13131787,3.1948185
56,-0.28918236,-0.06847042,3.3796139
57,-0.43422854,-0.13261841,3.1948128
58,-0.28872806,-0.067485034,3.379735
59,-0.4347303,-0.13644491,3.1946647
60,-0.28852215,-0.06776956,3.3803816
61,-0.43471542,-0.13873565,3.1973019
62,-0.2889986,-0.06896249,3.3812742
63,-0.2892814,-0.06990115,3.3830695
64,-0.43349552,-0.13623646,3.1944072
65,-0.29036582,-0.06874442,3.382658
66,-0.43108487,-0.13673922,3.195659
67,-0.28959766,-0.069266714,3.3817673
68,-0.42892364,-0.13902617,3.1952538
69,-0.28821945,-0.06975758,3.380158
70,-0.2511747,-0.20031022,3.0604076
71,0.011681769,-0.16598794,3.1372962
72,0.013214513,-0.16464871,3.1364977
73,-0.09376123,-0.1848304,2.924877
74,0.015198778,-0.16404569,3.134975
75,-0.09585685,-0.18715477,2.9263792
76,0.017057717,-0.16357002,3.133733
77,-0.09638418,-0.18828532,2.9282305
78,0.018486427,-0.1636126,3.133616
79,-0.09598206,-0.18892922,2.9298959
80,0.019877547,-0.16413599,3.133433
81,-0.095441945,-0.18978342,2.929891
82,0.02044035,-0.16428031,3.1336012
83,-0.09544408,-0.19084972,2.9297771
84,0.020313544,-0.16461432,3.1333911
85,0.01965576,-0.16467555,3.133468
86,0.019289901,-0.16517252,3.1339145
87,0.019322038,-0.16536044,3.134685
88,0.019660234,-0.16537611,3.1350079
89,0.019725766,-0.16574694,3.1346765
90,0.01916031,-0.1659224,3.1339505
91,0.019012554,-0.16627175,3.1332471
92,0.019363685,-0.16662091,3.133098
93,0.019453993,-0.16690433,3.1335964
94,0.019087505,-0.16647926,3.1345997
95,0.019483522,-0.16570544,3.1354392
96,0.018157847,-0.1658014,3.1349423
97,0.015818022,-0.16560677,3.1343298
98,0.014347118,-0.16724281,3.135083
99,0.013596723,-0.17068788,3.1360402
100,0.013577755,-0.17472517,3.1351032
101,-0.41512412,-0.32722104,2.6372652
102,-0.79813397,-0.44322497,2.3275414
103,-0.79875207,-0.44833964,2.334573
104,-0.7979505,-0.45251387,2.3393412
105,-0.7031449,-0.39900202,2.468309
106,-0.6990474,-0.39472967,2.4605367
107,-0.8530557,-0.46655172,2.2529337
108,-0.70064926,-0.39527982,2.4586952
109,-0.8526647,-0.46800393,2.252699
110,-0.7021352,-0.393258,2.4549665
111,-0.85220945,-0.46998695,2.2514262
112,-0.70421606,-0.39258084,2.453621
113,-0.85108364,-0.46992603,2.2491055
114,-0.70538604,-0.39207664,2.4521983
115,-0.8502826,-0.46850842,2.2458584
116,-0.70487916,-0.39042592,2.4487333
117,-0.8503265,-0.46779132,2.243548
118,-0.70522004,-0.38740155,2.445747
119,-0.85094917,-0.46738803,2.2421396
120,-0.70604163,-0.38512388,2.444445
121,-0.85103375,-0.4664751,2.2412353
122,-0.7064365,-0.38517845,2.4442782
123,-0.8505458,-0.4656695,2.24092
124,-0.7043941,-0.38421506,2.441188
125,-0.8497704,-0.46468133,2.240816
126,-0.70401967,-0.38513696,2.4418802
127,-0.8490678,-0.46409062,2.2400074
128,-0.70281243,-0.38553888,2.4411476
129,-0.8490471,-0.46600384,2.2400775
130,-0.7018403,-0.3856096,2.440604
131,-0.8489108,-0.46703592,2.2389865
132,-0.70149964,-0.3869149,2.442328
133,-0.84801465,-0.46634787,2.2370574
134,-0.6972366,-0.38792393,2.4436395
135,-0.84626776,-0.46605423,2.2360249
136,-0.84322894,-0.46716297,2.2384272
137,-0.83750176,-0.47001556,2.2427788
138,0.44610384,0.0094247265,3.567779
139,0.44033715,0.007828229,3.5626915
140,0.43571582,0.007839404,3.558696
141,0.4320195,0.009775786,3.5564127
142,0.79676014,0.10469587,3.8072348
143,0.78977257,0.098191515,3.8064642
144,0.78169435,0.098053366,3.8054514
145,0.5539154,0.042942923,3.6358924
146,0.7833363,0.09883201,3.8051584
147,0.78450465,0.1003757,3.8040562
148,0.5459662,0.036721498,3.6336842
149,0.7871489,0.1049805,3.8015354
150,0.54304135,0.037355233,3.6322923
151,0.78855526,0.104774676,3.7986999
152,0.54079264,0.038713176,3.6304526
153,0.53912413,0.039164882,3.6286657
154,0.5381544,0.041084666,3.6276093
155,0.79328895,0.09401851,3.8017983
156,0.53858787,0.04188118,3.628584
157,0.5390878,0.042296506,3.6303952
158,0.79138684,0.09763595,3.798976
159,0.54029644,0.040797524,3.6320672
160,0.79026896,0.09823096,3.798861
161,0.54104024,0.0401041,3.6324344
162,0.78873724,0.1004918,3.8007193
163,0.54277986,0.040558886,3.6337652
164,0.790167,0.09975926,3.8033564
165,0.54447114,0.041140135,3.6313033
166,0.7809405,0.09400677,3.8049974
167,0.7859891,0.10506807,3.8013515
168,0.2968922,-0.065018035,3.3947194
169,0.54548633,-0.3800077,2.6528792
170,0.54151964,-0.37866497,2.6531098
171,0.5448664,-0.3774233,2.6498065
172,0.54631704,-0.37680584,2.6475143
173,0.5471946,-0.3751558,2.6465116
174,0.5477322,-0.37406853,2.6474006
175,0.54652315,-0.3738024,2.648406
176,0.544363,-0.3738264,2.6492548
177,0.5441349,-0.37704447,2.6490166
178,0.5435706,-0.3764462,2.6481624
179,0.54383135,-0.37511832,2.6472104
180,0.54443467,-0.37553895,2.6478062
181,0.5449527,-0.37637028,2.6493247
182,0.5473604,-0.3770413,2.6491938
183,0.553071,-0.37837088,2.645638
184,0.43186086,-0.45747328,2.368207
185,0.43432462,-0.4538022,2.3685904
186,0.43695864,-0.45260382,2.3684673
187,0.4401372,-0.45297772,2.3681204
188,0.44261706,-0.4539526,2.3711548
189,0.61748505,-0.42024547,2.556141
190,0.44515464,-0.45442814,2.3758268
191,0.6160792,-0.42120907,2.5561237
192,0.4471408,-0.4548954,2.3803043
193,0.6114644,-0.4202655,2.5567353
194,0.44738102,-0.45262253,2.3814611
195,0.6107763,-0.41904572,2.5576878
196,0.61280847,-0.41781387,2.5575094
197,0.4423489,-0.45030802,2.3783736
198,0.6151335,-0.41346654,2.5565424
199,0.44081652,-0.45083216,2.3774483
200,0.44066715,-0.4520174,2.3779688
201,0.61518204,-0.41360804,2.5597873
202,0.44107053,-0.45207822,2.3793075
203,0.61265564,-0.41339305,2.5565379
204,0.44173676,-0.45221782,2.3796802
205,0.61065763,-0.41217786,2.5544288
206,0.44403931,-0.45245203,2.3811054
207,0.612118,-0.4101929,2.553857
208,0.6115315,-0.4115019,2.5541372
209,0.61127603,-0.41314542,2.5573764
210,0.6111828,-0.4146273,2.562416
211,0.61106557,-0.4165089,2.5678504
212,-0.861241,0.032373812,3.5465193
213,-0.83900154,0.15458098,3.8595722
214,-0.838099,0.15008843,3.8578687
215,-0.83685476,0.1501047,3.8576264
216,-1.0727708,0.14559136,3.8296711
217,-1.0704875,0.14025895,3.8261938
218,-1.0691309,0.13672535,3.821992
219,-1.0690434,0.13530543,3.8171258
220,-1.069624,0.1348381,3.8148289
221,-1.0692863,0.13523701,3.8137186
222,-0.9492203,0.20809886,3.9805753
223,-1.0707263,0.13608146,3.811296
224,-0.949248,0.20352006,3.981417
225,-0.9472048,0.19847311,3.9797552
226,-0.9490456,0.19911045,3.9774446
227,-0.9508576,0.20155035,3.9757977
228,-0.949653,0.20219815,3.9755602
229,-1.1313109,0.16297339,3.8720531
230,-0.9484181,0.2025172,3.9767084
231,-1.130882,0.16220774,3.8728778
232,-0.9482205,0.20564073,3.9786892
233,-1.1303272,0.16214399,3.872296
234,-0.9470273,0.20572835,3.9797425
235,-1.1299832,0.16307655,3.8718138
236,-0.94862086,0.20434369,3.9803507
237,-1.1299613,0.16366543,3.8720853
238,-0.94974697,0.20134589,3.9791708
239,-1.1302161,0.16299722,3.872953
240,-0.95140475,0.20126007,3.977882
241,-1.1301037,0.16177975,3.873343
242,-0.95135736,0.20108306,3.976252
243,-1.1306815,0.1611323,3.8737087
244,-0.95009124,0.19925645,3.976255
245,-1.1309763,0.16149873,3.87302
246,-0.9501492,0.1990149,3.976009
247,-1.1302644,0.16201785,3.8729994
248,-0.9487166,0.20122921,3.9761162
249,-1.1299,0.16236155,3.8724275
250,-1.1297356,0.16212216,3.873936
251,-1.1306776,0.16229331,3.873695
252,-1.1308044,0.16217493,3.8723392
253,-0.9426367,0.20030013,3.9809594
254,-1.1314372,0.16303898,3.8713377
255,-0.9437363,0.2000992,3.9774938
256,-1.1313286,0.16486478,3.87152
257,-0.9472229,0.20253514,3.9765701
258,-1.130898,0.16536734,3.8718588
259,-0.94801354,0.20235024,3.9760466
260,-1.1306789,0.16453654,3.8720732
261,-0.9458542,0.20087813,3.9759507
262,-1.130723,0.16303012,3.8728926
263,-0.9432556,0.2001585,3.9749982
264,-1.1308788,0.16189758,3.8735676
265,-0.9417587,0.19927502,3.9749002
266,-1.13074,0.16076621,3.873495
267,-0.9422909,0.19902313,3.976478
268,-1.1288383,0.16011949,3.8700125
269,-0.94404626,0.19841267,3.978135
270,-0.94611025,0.19748643,3.978843
271,-0.04463107,-0.16242088,3.1412644
272,-0.045716647,-0.15935382,3.1469092
273,-0.10569973,-0.18351027,2.9511492
274,-0.042777758,-0.16027707,3.1481133
275,-0.10653487,-0.18498188,2.9520779
276,-0.039289147,-0.16031185,3.14921
277,-0.10781354,-0.18735732,2.9503927
278,-0.036970902,-0.15871762,3.1505783
279,-0.03342152,-0.16093242,3.1494746
280,0.42711592,-0.437013,2.4315422
281,0.4405126,-0.4631291,2.473608
282,0.6567081,-0.4775253,2.4474916
283,0.6640105,-0.46929342,2.4454257
284,0.664741,-0.4655852,2.4459038
285,0.51331884,-0.47878936,2.2954047
286,0.6666697,-0.46497297,2.4463944
287,0.51238054,-0.4772215,2.2979488
288,0.6679604,-0.4635046,2.4469573
289,0.5123111,-0.4763808,2.3003232
290,0.66935265,-0.45936912,2.4465914
291,0.51268816,-0.47601396,2.3019264
292,0.6709647,-0.45946085,2.4461594
293,0.51311845,-0.47621697,2.3032598
294,0.6710364,-0.46065354,2.4459271
295,0.51338744,-0.47702044,2.303628
296,0.67025495,-0.4606211,2.4455838
297,0.5135434,-0.47737706,2.3028219
298,0.6680269,-0.45697445,2.445564
299,0.5131559,-0.47750998,2.3021095
300,0.6675823,-0.4554036,2.445663
301,0.5133741,-0.47842085,2.3030324
302,0.6677762,-0.4571902,2.4464202
303,0.6686798,-0.461552,2.4473903
304,0.6659559,-0.46707347,2.4489067
305,0.66322374,-0.46964687,2.4501708
306,-0.28659722,-0.2134403,3.0060377
307,-0.21708387,-0.11503952,3.221807
308,-0.28835544,-0.21199763,3.0038087
309,-0.21405873,-0.117150284,3.21947
310,-0.21335438,-0.119740725,3.2190669
311,-0.21603723,-0.12028526,3.2207332
312,-0.21924669,-0.1192739,3.2223911
313,-0.22137928,-0.11703232,3.224346
314,-0.2243125,-0.11623524,3.224287
315,-0.6594763,-0.43542415,2.350313
316,-0.65568197,-0.43795794,2.353869
317,-0.6518308,-0.44007954,2.3577294
318,-0.6511464,-0.4352901,2.3578496
319,-0.6551726,-0.4334389,2.3557522
320,-0.58246523,-0.32319835,2.6076927
321,-0.58689964,-0.32435352,2.6116467
322,-0.5897427,-0.32761618,2.613935
323,-0.59447944,-0.32969242,2.6117802
324,-1.0151267,-0.3951319,2.3971493
325,-1.0112932,-0.39353496,2.4036052
326,-1.0068048,-0.39891982,2.409056
327,-0.8890736,-0.35756782,2.5404236
328,-0.8827018,-0.35520026,2.5409753
329,-0.8772621,-0.3548626,2.5412703
330,-1.0252705,-0.40920228,2.3693404
331,-0.8748644,-0.3555021,2.5399323
332,-1.0272554,-0.40936926,2.368721
333,-0.8759105,-0.35532436,2.5372114
334,-1.0271729,-0.40793353,2.368155
335,-0.87755144,-0.35511237,2.5362086
336,-1.0262885,-0.40587085,2.3673058
337,-0.8776547,-0.35366607,2.5346847
338,-1.0267339,-0.40584433,2.3673058
339,-1.0278815,-0.4056396,2.3638291
340,-1.0296751,-0.40745896,2.3610327
341,-1.0309781,-0.40885136,2.3556683
342,-1.0265146,-0.41949087,2.3508375
343,-0.8627622,-0.47024027,2.231738
344,-0.86667466,-0.47329438,2.23754
345,-0.87214875,-0.47016528,2.248818
346,0.5360043,0.22123021,4.110938
347,0.5297714,0.22944409,4.1045737
348,0.346002,0.17565763,3.9263468
349,0.7719447,0.2539403,4.1305714
350,0.56557,0.2018352,4.0315676
351,0.75986856,0.24674214,4.1313953
352,0.7529891,0.24331714,4.1314764
353,0.55809057,0.19560026,4.0320063
354,0.55810153,0.19637291,4.034285
355,0.55896425,0.19865076,4.0351048
356,0.5477982,0.20427784,4.024457
357,0.5538752,0.20273025,4.024213
358,0.5582079,0.2023788,4.0226183
359,0.6660771,0.19782865,4.0418596
360,0.6696975,0.19752644,4.0416393
361,0.67584276,0.19692786,4.044991
362,0.41383153,0.14046915,3.8975692
363,0.41922468,0.13926011,3.8961165
364,0.42244238,0.13987827,3.894404
365,0.4240888,0.141321,3.8931577
366,0.4253137,0.14236346,3.893146
367,0.59116507,0.15096986,3.9636858
368,0.4261261,0.14164244,3.8938417
369,0.596779,0.15241951,3.9675765
370,0.42944673,0.13987587,3.895434
371,0.5998158,0.15312317,3.9706202
372,0.43350166,0.13910055,3.8968425
373,0.6007122,0.15181786,3.9714584
374,0.43415314,0.13907091,3.8970137
375,0.59987044,0.15075023,3.9716182
376,0.43071193,0.1394076,3.895794
377,0.6000001,0.15110385,3.971797
378,0.5995576,0.15093416,3.9721365
379,0.4317508,0.13934426,3.896155
380,0.5987731,0.14949411,3.9719217
381,0.42798337,0.13967656,3.894487
382,0.5980981,0.15072611,3.972923
383,0.59763587,0.15227298,3.9728203
384,0.4335277,0.13988839,3.8920865
385,0.5986111,0.15362027,3.9734592
386,0.43790177,0.1406097,3.8924177
387,0.5988438,0.1539176,3.974621
